task_id,base_completed,base_strict_success,base_purchase_success,base_reward_valid,base_final_reward,base_reward_type,base_done,base_judge_status,base_not_judged_reason,base_primary_error,base_steps,base_action_attempts,base_guard_rejections,base_duplicate_actions,base_duplicate_searches,base_truncated,base_context_usage_ratio,base_infrastructure_invalid,base_hard_violations,base_rubric_satisfied,base_rubric_violated,base_rubric_unknown,base_rubric_not_applicable,base_search_strategy,base_candidate_utilization,base_evidence_verification,base_decision_quality,base_termination_efficiency,sft_completed,sft_strict_success,sft_purchase_success,sft_reward_valid,sft_final_reward,sft_reward_type,sft_done,sft_judge_status,sft_not_judged_reason,sft_primary_error,sft_steps,sft_action_attempts,sft_guard_rejections,sft_duplicate_actions,sft_duplicate_searches,sft_truncated,sft_context_usage_ratio,sft_infrastructure_invalid,sft_hard_violations,sft_rubric_satisfied,sft_rubric_violated,sft_rubric_unknown,sft_rubric_not_applicable,sft_search_strategy,sft_candidate_utilization,sft_evidence_verification,sft_decision_quality,sft_termination_efficiency,grpo100_completed,grpo100_strict_success,grpo100_purchase_success,grpo100_reward_valid,grpo100_final_reward,grpo100_reward_type,grpo100_done,grpo100_judge_status,grpo100_not_judged_reason,grpo100_primary_error,grpo100_steps,grpo100_action_attempts,grpo100_guard_rejections,grpo100_duplicate_actions,grpo100_duplicate_searches,grpo100_truncated,grpo100_context_usage_ratio,grpo100_infrastructure_invalid,grpo100_hard_violations,grpo100_rubric_satisfied,grpo100_rubric_violated,grpo100_rubric_unknown,grpo100_rubric_not_applicable,grpo100_search_strategy,grpo100_candidate_utilization,grpo100_evidence_verification,grpo100_decision_quality,grpo100_termination_efficiency,grpo230_completed,grpo230_strict_success,grpo230_purchase_success,grpo230_reward_valid,grpo230_final_reward,grpo230_reward_type,grpo230_done,grpo230_judge_status,grpo230_not_judged_reason,grpo230_primary_error,grpo230_steps,grpo230_action_attempts,grpo230_guard_rejections,grpo230_duplicate_actions,grpo230_duplicate_searches,grpo230_truncated,grpo230_context_usage_ratio,grpo230_infrastructure_invalid,grpo230_hard_violations,grpo230_rubric_satisfied,grpo230_rubric_violated,grpo230_rubric_unknown,grpo230_rubric_not_applicable,grpo230_search_strategy,grpo230_candidate_utilization,grpo230_evidence_verification,grpo230_decision_quality,grpo230_termination_efficiency,qwen38_27b_completed,qwen38_27b_strict_success,qwen38_27b_purchase_success,qwen38_27b_reward_valid,qwen38_27b_final_reward,qwen38_27b_reward_type,qwen38_27b_done,qwen38_27b_judge_status,qwen38_27b_not_judged_reason,qwen38_27b_primary_error,qwen38_27b_steps,qwen38_27b_action_attempts,qwen38_27b_guard_rejections,qwen38_27b_duplicate_actions,qwen38_27b_duplicate_searches,qwen38_27b_truncated,qwen38_27b_context_usage_ratio,qwen38_27b_infrastructure_invalid,qwen38_27b_hard_violations,qwen38_27b_rubric_satisfied,qwen38_27b_rubric_violated,qwen38_27b_rubric_unknown,qwen38_27b_rubric_not_applicable,qwen38_27b_search_strategy,qwen38_27b_candidate_utilization,qwen38_27b_evidence_verification,qwen38_27b_decision_quality,qwen38_27b_termination_efficiency,grpo230_v3_completed,grpo230_v3_strict_success,grpo230_v3_purchase_success,grpo230_v3_reward_valid,grpo230_v3_final_reward,grpo230_v3_reward_type,grpo230_v3_done,grpo230_v3_judge_status,grpo230_v3_not_judged_reason,grpo230_v3_primary_error,grpo230_v3_steps,grpo230_v3_action_attempts,grpo230_v3_guard_rejections,grpo230_v3_duplicate_actions,grpo230_v3_duplicate_searches,grpo230_v3_truncated,grpo230_v3_context_usage_ratio,grpo230_v3_infrastructure_invalid,grpo230_v3_hard_violations,grpo230_v3_rubric_satisfied,grpo230_v3_rubric_violated,grpo230_v3_rubric_unknown,grpo230_v3_rubric_not_applicable,grpo230_v3_search_strategy,grpo230_v3_candidate_utilization,grpo230_v3_evidence_verification,grpo230_v3_decision_quality,grpo230_v3_termination_efficiency,qwen38_27b_v3_completed,qwen38_27b_v3_strict_success,qwen38_27b_v3_purchase_success,qwen38_27b_v3_reward_valid,qwen38_27b_v3_final_reward,qwen38_27b_v3_reward_type,qwen38_27b_v3_done,qwen38_27b_v3_judge_status,qwen38_27b_v3_not_judged_reason,qwen38_27b_v3_primary_error,qwen38_27b_v3_steps,qwen38_27b_v3_action_attempts,qwen38_27b_v3_guard_rejections,qwen38_27b_v3_duplicate_actions,qwen38_27b_v3_duplicate_searches,qwen38_27b_v3_truncated,qwen38_27b_v3_context_usage_ratio,qwen38_27b_v3_infrastructure_invalid,qwen38_27b_v3_hard_violations,qwen38_27b_v3_rubric_satisfied,qwen38_27b_v3_rubric_violated,qwen38_27b_v3_rubric_unknown,qwen38_27b_v3_rubric_not_applicable,qwen38_27b_v3_search_strategy,qwen38_27b_v3_candidate_utilization,qwen38_27b_v3_evidence_verification,qwen38_27b_v3_decision_quality,qwen38_27b_v3_termination_efficiency,sft_to_grpo100_strict_transition,sft_to_grpo100_purchase_transition,grpo100_minus_sft_reward,grpo100_to_grpo230_strict_transition,grpo100_to_grpo230_purchase_transition,grpo230_minus_grpo100_reward,grpo230_to_grpo230_v3_strict_transition,grpo230_to_grpo230_v3_purchase_transition,grpo230_v3_minus_grpo230_reward
1057,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,2,5,3,2,0,True,0.1868097736057427,False,1,2,1,2,0,1,0,0,0,0,True,False,False,True,0.5,partial_alternative_purchase,True,valid,,premature_purchase,8,8,0,1,0,True,0.3405988857938719,False,1,3,2,0,0,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,,8,8,0,1,0,True,0.2227715877437326,False,0,5,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,True,0.18711699164345405,False,0,5,0,0,0,2,2,2,2,2,True,False,False,True,-1.0,wrong_purchase,True,valid,,premature_purchase,4,4,0,0,0,True,0.22089136490250696,False,1,3,1,1,0,1,1,0,0,0,True,False,False,True,0.5,partial_alternative_purchase,True,valid,,,4,4,0,0,0,False,0.18739554317548746,False,0,5,0,0,0,2,2,2,2,2,True,False,False,True,0.5,partial_alternative_purchase,True,valid,,premature_purchase,4,4,0,0,0,False,0.18259052924791086,False,1,4,1,0,0,1,1,1,1,1,failure_to_success,failure_to_success,0.5,success_to_success,success_to_success,0.0,success_to_failure,success_to_failure,-0.5
1218,True,False,False,True,-0.6,repeat_loop,True,valid,,critical_evidence_missing,11,14,3,5,0,True,0.2468594699061292,False,0,0,0,6,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,8,8,0,1,0,True,0.3233635097493036,False,0,5,0,1,0,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,wrong_category,11,11,0,1,0,True,0.35884401114206127,False,2,4,2,0,0,1,1,0,0,1,True,True,True,True,1.0,gold_purchase,True,valid,,wrong_category,10,10,0,2,1,True,0.33913649025069637,False,2,4,2,0,0,1,1,1,0,1,True,False,False,True,-0.6,repeat_loop,True,valid,,search_core_requirement_missed,10,11,1,3,0,True,0.4,False,0,1,0,5,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,wrong_category,4,4,0,0,0,False,0.18823119777158775,False,1,4,1,1,0,1,1,1,0,1,True,False,False,True,-0.4,early_abstain,True,valid,,premature_abstain,8,8,0,1,0,False,0.37092618384401116,False,1,0,1,5,0,1,0,0,0,0,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0
1297,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,4,8,4,2,0,True,0.2140392048591938,False,0,0,0,6,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,6,6,0,0,0,True,0.1873259052924791,False,0,6,0,0,0,2,2,2,2,2,True,True,True,True,0.95,gold_purchase,True,valid,,,20,20,0,8,0,True,0.3953342618384401,False,0,6,0,0,0,2,2,2,2,2,True,False,False,True,-0.6,repeat_loop,True,valid,,repeat_loop,12,12,0,7,0,True,0.40661559888579385,False,0,5,0,1,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,10,12,2,1,0,True,0.36629526462395545,False,0,6,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,11,12,1,1,0,False,0.4413649025069638,False,0,6,0,0,0,2,2,2,2,2,True,False,True,True,0.8,valid_alternative_purchase,True,valid,,critical_evidence_missing,4,4,0,0,0,False,0.18704735376044568,False,0,5,0,1,0,1,1,0,1,1,success_to_success,success_to_success,-0.05,success_to_failure,success_to_failure,-1.55,failure_to_success,failure_to_success,1.6
927,True,False,False,True,-0.8,guard_rejection,False,valid,,search_ineffective_reformulation,1,4,3,0,0,True,0.15395499723909442,False,0,0,0,6,0,0,0,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,6,6,0,0,0,True,0.2277158774373259,False,1,5,1,0,0,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,6,6,0,0,0,True,0.18575905292479108,False,1,5,1,0,0,1,1,0,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,True,0.17600974930362118,False,0,6,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,4,4,0,0,0,True,0.1715181058495822,False,0,6,0,0,0,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,4,4,0,0,0,False,0.1846100278551532,False,1,5,1,0,0,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,4,4,0,0,0,False,0.17910863509749303,False,0,6,0,0,0,1,1,1,1,1,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0
176,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,4,8,4,1,0,True,0.3018360022087245,False,0,0,0,4,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,critical_evidence_missing,8,8,0,1,0,True,0.4441155988857939,False,0,3,0,1,0,1,1,0,1,1,True,False,False,True,-0.87,repeat_loop,True,valid,,repeat_loop,29,35,6,22,2,True,0.6862116991643454,False,0,1,0,3,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,True,0.1847841225626741,False,0,4,0,0,0,2,2,2,2,2,True,False,False,True,-1.0,wrong_purchase,True,valid,,premature_purchase,6,7,1,1,0,True,0.22332869080779943,False,0,4,0,0,0,1,1,0,0,1,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,False,0.19383704735376045,False,0,4,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,False,0.18913649025069637,False,0,4,0,0,0,2,2,2,2,2,success_to_failure,success_to_failure,-1.87,failure_to_success,failure_to_success,1.87,success_to_success,success_to_success,0.0
407,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,4,8,4,1,0,True,0.22956929872998344,False,0,0,0,7,0,1,0,0,0,0,True,False,True,True,0.8,valid_alternative_purchase,True,valid,,,15,15,0,5,0,True,0.34157381615598886,False,0,7,0,0,0,2,2,1,2,2,True,True,True,True,0.93,gold_purchase,True,valid,,,21,21,0,8,0,True,0.5174094707520891,False,0,7,0,0,0,2,2,1,2,2,True,False,True,True,0.8,valid_alternative_purchase,True,valid,,,4,4,0,0,0,True,0.16093314763231198,False,0,7,0,0,0,2,2,2,2,2,True,False,True,True,0.8,valid_alternative_purchase,True,valid,,,4,4,0,0,0,True,0.15800835654596102,False,0,7,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,5,1,0,0,False,0.215424791086351,False,0,7,0,0,0,2,2,2,2,2,True,False,False,True,-0.4,early_abstain,True,valid,,premature_abstain,4,4,0,0,0,False,0.17141364902506964,False,0,1,0,6,0,1,0,1,0,0,failure_to_success,success_to_success,0.13,success_to_failure,success_to_success,-0.13,failure_to_success,success_to_success,0.2
604,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,4,8,4,2,0,True,0.32444091662065155,False,0,0,0,9,0,1,1,1,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,8,8,0,1,0,True,0.2638231197771588,False,0,9,0,0,0,2,2,2,2,2,True,False,False,True,-0.91,guard_rejection,False,valid,,overexploration_after_convergence,23,26,3,6,0,True,0.661142061281337,False,0,9,0,0,0,1,1,1,1,0,True,True,True,True,1.0,gold_purchase,True,valid,,,10,10,0,1,0,True,0.4036908077994429,False,0,9,0,0,0,2,2,2,2,2,True,False,False,True,-0.6,repeat_loop,True,valid,,repeat_loop,12,12,0,6,0,True,0.9489554317548746,False,2,2,2,5,0,1,0,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,False,0.1809540389972145,False,0,9,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,False,0.1786908077994429,False,0,9,0,0,0,2,2,2,2,2,success_to_failure,success_to_failure,-1.91,failure_to_success,failure_to_success,1.91,success_to_success,success_to_success,0.0
901,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,4,8,4,3,0,True,0.16541275538376587,False,0,5,0,3,1,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,9,9,0,1,0,True,0.236525069637883,False,0,8,0,0,1,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,9,9,0,1,0,True,0.16772284122562675,False,0,8,0,0,1,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,5,5,0,0,0,True,0.20153203342618384,False,0,7,0,0,2,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,premature_purchase,5,5,0,0,0,True,0.1951949860724234,False,0,7,0,1,1,1,1,1,1,1,True,True,True,True,1.0,gold_purchase,True,valid,,,5,5,0,0,0,False,0.21173398328690807,False,0,7,0,0,2,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,5,5,0,0,0,False,0.2070682451253482,False,0,7,0,0,2,2,2,2,2,2,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0
1266,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,8,13,5,6,0,True,0.2416137493097736,False,0,7,0,1,0,1,1,0,0,0,True,True,True,True,1.0,gold_purchase,True,valid,,,8,8,0,1,0,True,0.1799791086350975,False,0,8,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,8,8,0,1,0,True,0.2797353760445682,False,0,8,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,True,0.18172005571030642,False,0,8,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,True,0.17461699164345404,False,0,8,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,4,4,0,0,0,False,0.20059192200557102,False,0,8,0,0,0,2,2,2,2,2,True,True,True,True,1.0,gold_purchase,True,valid,,,6,7,1,0,0,False,0.3066852367688022,False,0,8,0,0,0,2,2,2,2,2,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0,success_to_success,success_to_success,0.0
717,True,False,False,True,-0.8,guard_rejection,False,valid,,illegal_action,8,12,4,4,0,True,0.24903368304803974,False,0,0,0,6,1,1,1,0,0,0,True,False,False,True,-0.71,repeat_loop,True,valid,,premature_abstain,23,23,0,9,1,True,0.3322423398328691,False,1,1,1,4,1,1,1,0,0,0,True,False,False,True,-1.05,max_steps,True,valid,,max_steps_exhaustion,45,47,2,26,0,True,1.2061281337047354,False,1,3,1,3,0,1,1,1,0,0,True,False,False,True,-0.87,repeat_loop,True,valid,,repeat_loop,29,30,1,12,1,True,0.8713788300835654,False,0,1,0,5,1,1,1,0,0,0,True,False,False,True,-1.18,wrong_purchase,True,valid,,requirement_violation,26,27,1,7,0,True,0.7936281337047354,False,1,1,2,3,1,1,1,0,0,0,True,True,True,True,0.58,gold_purchase,True,valid,,repeat_loop,33,34,1,11,0,False,0.9637883008356546,False,0,7,0,0,0,1,1,0,1,0,True,False,False,True,-1.0,wrong_purchase,True,valid,,premature_purchase,10,10,0,1,0,False,0.3493036211699164,False,1,3,2,2,0,1,1,0,0,0,failure_to_failure,failure_to_failure,-0.34,failure_to_failure,failure_to_failure,0.18,failure_to_success,failure_to_success,1.45
